Article,Object_singular,Translation_singular,Object_plural,Translation_plural,Category
die,Erwartung,expectation,Erwartungen,expectations,psychology
die,Fantasie,"fantasy, imagination",Fantasien,fantasies,psychology
das,Gedächtnis,memory (ability),Gedächtnisse,memories (brains),psychology
die,Gelassenheit,calmness,Gelassenheiten,states of calmness,psychology
die,Motivation,motivation,Motivationen,motivations,psychology
die,Persönlichkeit,personality,Persönlichkeiten,personalities,psychology
die,Reaktion,reaction,Reaktionen,reactions,psychology
die,Ruhe,"quiet, calm",Ruhen,rests (rare),psychology
die,Schwäche,weakness,Schwächen,weaknesses,psychology
das,Selbstbewusstsein,"self-confidence, self-awareness",Selbstbewusstseine,states of self-confidence,psychology
der,Stress,stress,Stresse,stress situations,psychology
die,Sucht,addiction,Süchte,addictions,psychology
der,Traum,dream,Träume,dreams,psychology
das,Verhalten,behavior,Verhalten,behaviors,psychology
der,Dozent,lecturer (male),Dozenten,lecturers,school
die,Dozentin,lecturer (female),Dozentinnen,lecturers (female),school
die,Einführung,introduction,Einführungen,introductions,school
das,Fach,subject,Fächer,subjects,school
der,Fachbereich,"department, faculty",Fachbereiche,departments,school
die,Fakultät,faculty,Fakultäten,faculties,school
die,Hochschule,"university, college",Hochschulen,"universities, colleges",school
die,Klausur,written exam,Klausuren,written exams,school
der,Kommilitone,fellow student (male),Kommilitonen,fellow students,school
die,Kommilitonin,fellow student (female),Kommilitoninnen,fellow students (female),school
der,Leistungspunkt,credit point,Leistungspunkte,credit points,school
die,Mensa,cafeteria (university),Mensen,cafeterias,school
der,Professor,professor (male),Professoren,professors,school
die,Professorin,professor (female),Professorinnen,professors (female),school
die,Studentenwohnung,student apartment,Studentenwohnungen,student apartments,school
der,Studiengang,degree program,Studiengänge,degree programs,school
das,Studium,"studies, degree course",Studien,"studies, degree courses",school
das,Tutorium,tutorial session,Tutorien,tutorial sessions,school
das,Wohnheim,"dormitory, residence hall",Wohnheime,"dormitories, residence halls",school
das,Seminar,seminar,Seminare,seminars,school
die,Datenbank,database,Datenbanken,databases,technology
das,Passwort,password,Passwörter,passwords,technology
der,Zugang,access,Zugänge,"accesses, entries",technology
der,Benutzer,user (male),Benutzer,users,technology
die,Benutzerin,user (female),Benutzerinnen,users (female),technology
das,Benutzerkonto,user account,Benutzerkonten,user accounts,technology
der,Browser,browser,Browser,browsers,technology
die,Cloud,cloud (computing),Clouds,cloud services,technology
die,Datenschutzrichtlinie,privacy policy,Datenschutzrichtlinien,privacy policies,technology
die,Datensicherheit,data security,Datensicherheiten,data security measures,technology
die,Domain,domain,Domains,domains,technology
die,Einstellung,"setting, preference",Einstellungen,"settings, preferences",technology
die,Firewall,firewall,Firewalls,firewalls,technology
die,Informationstechnologie,information technology,Informationstechnologien,information technologies,technology
der,Link,link,Links,links,technology
die,Malware,malware,Malwares,malware types,technology
das,Netz,"network, net",Netze,"networks, nets",technology
die,Plattform,platform,Plattformen,platforms,technology
das,Profil,profile,Profile,profiles,technology
der,Server,server,Server,servers,technology
die,Suchmaschine,search engine,Suchmaschinen,search engines,technology
der,Virus,virus,Viren,viruses,technology
die,Website,website,Websites,websites,technology
die,Anlage,"system, plant",Anlagen,"systems, plants",technology
die,App,App (application),Apps,apps,technology
die,Batterie,battery,Batterien,batteries,technology
der,Bildschirm,"screen, monitor",Bildschirme,"screens, monitors",technology
das,Bildschirmfoto,screenshot,Bildschirmfotos,screenshots,technology
der,Computer,computer,Computer,computers,technology
die,Datei,file,Dateien,files,technology
der,Drucker,printer,Drucker,printers,technology
die,E-Mail,email,E-Mails,emails,technology
die,Elektrizität,electricity,Elektrizitäten,types of electricity,technology
das,Gerät,"device, appliance",Geräte,"devices, appliances",technology
das,Handy,mobile phone,Handys,mobile phones,technology
das,Internet,internet,Internetzugänge,internet connections,technology
das,Ladegerät,charger,Ladegeräte,chargers,technology
der,Laptop,laptop,Laptops,laptops,technology
die,Maschine,machine,Maschinen,machines,technology
die,Maus,mouse (computer),Mäuse,mice (computer),technology
der,Motor,"engine, motor",Motoren,"engines, motors",technology
das,Netzwerk,network,Netzwerke,networks,technology
der,Ordner,folder,Ordner,folders,technology
der,Schalter,switch,Schalter,switches,technology
das,Smartphone,smartphone,Smartphones,smartphones,technology
die,Software,software,Softwares,software packages,technology
die,Steckdose,"socket, outlet",Steckdosen,"sockets, outlets",technology
der,Stecker,plug,Stecker,plug connectors,technology
der,Strom,"(also) electricity, current",Ströme,"currents, flows",technology
die,Tastatur,keyboard,Tastaturen,keyboards,technology
die,Taste,"key, button",Tasten,"keys, buttons",technology
die,Technik,"technology, technique",Techniken,"technologies, techniques",technology
das,Telefon,telephone,Telefone,telephones,technology
die,Webseite,website page,Webseiten,website pages,technology
der,Abend,evening,Abende,evenings,time
das,Datum,date (calendar),Daten,dates,time
der,Frühling,spring (season),Frühlinge,springs,time
der,Herbst,"autumn, fall",Herbste,"autumns, falls",time
das,Jahr,year,Jahre,years,time
das,Jahrhundert,century,Jahrhunderte,centuries,time
der,Kalender,calendar,Kalender,calendars,time
die,Minute,minute,Minuten,minutes,time
der,Mittag,"noon, midday",Mittage,"noons, middays",time
der,Monat,month,Monate,months,time
der,Morgen,morning,Morgen,mornings,time
der,Nachmittag,afternoon,Nachmittage,afternoons,time
die,Nacht,night,Nächte,nights,time
die,Sekunde,second,Sekunden,seconds,time
der,Sommer,summer,Sommer,summers,time
die,Stunde,hour,Stunden,"hours, lessons",time
der,Tag,day,Tage,days,time
die,Uhr,"clock, watch, o’clock",Uhren,"clocks, watches",time
die,Uhrzeit,time (of day),Uhrzeiten,times (of day),time
der,Vormittag,late morning,Vormittage,late mornings,time
der,Winter,winter,Winter,winters,time
die,Woche,week,Wochen,weeks,time
die,Zeit,time,Zeiten,"times, eras",time
der,Termin,appointment,Termine,appointments,time
der,Bohrer,drill,Bohrer,drills,tools
der,Hammer,hammer,Hämmer,hammers,tools
die,Leiter,ladder,Leitern,ladders,tools
das,Metermaß,measuring tape,Metermaße,measuring tapes,tools
die,Säge,saw,Sägen,saws,tools
der,Schlüssel,key,Schlüssel,keys,tools
der,Schraubenzieher,screwdriver,Schraubenzieher,screwdrivers,tools
das,Werkzeug,tool,Werkzeuge,tools,tools
die,Zange,"pliers, tongs (singular)",Zangen,"pliers, tongs (plural)",tools
der,Ausflug,"excursion, trip",Ausflüge,"excursions, trips",travel
die,Buchung,booking,Buchungen,bookings,travel
die,Führung,guided tour,Führungen,guided tours,travel
das,Gepäck,luggage,Gepäckstücke,pieces of luggage,travel
der,Pass,passport,Pässe,passports,travel
der,Reiseführer,"travel guide (book or person, male)",Reiseführer,travel guides,travel
die,Reiseführerin,travel guide (female),Reiseführerinnen,travel guides (female),travel
die,Reservierung,reservation,Reservierungen,reservations,travel
die,Rundreise,"tour, round trip",Rundreisen,"tours, round trips",travel
das,Visum,visa,Visa,VISAs,travel
die,Figur,"piece, figure",Figuren,"pieces, figures",travel
die,Karte,"map, card",Karten,"maps, cards",travel
das,Hotel,hotel,Hotels,hotels,travel
die,Jugendherberge,youth hostel,Jugendherbergen,youth hostels,travel
die,Pension,guesthouse,Pensionen,guesthouses,travel
die,Sehenswürdigkeit,"sight, tourist attraction",Sehenswürdigkeiten,"sights, attractions",travel
der,Tourist,tourist (male),Touristen,tourists (male or mixed),travel
die,Touristin,tourist (female),Touristinnen,tourists (female),travel
die,Sonne,sun,Sonnen,suns,weather
der,Blitz,"lightning, flash",Blitze,"lightnings, flashes",weather
der,Donner,thunder,Donner,thunders,weather
das,Gewitter,thunderstorm,Gewitter,thunderstorms,weather
die,Hitze,heat,Hitzen,periods or degrees of heat,weather
die,Kälte,cold (temperature),Kälten,periods or degrees of cold,weather
das,Klima,climate,Klimate,climates,weather
der,Nebel,fog,Nebel,"fogs, mists",weather
der,Regen,rain,Regen,rains,weather
der,Schnee,snow,Schnee,snows,weather
der,Sturm,storm,Stürme,storms,weather
die,Temperatur,temperature,Temperaturen,temperatures,weather
das,Wetter,weather,Wetter,weathers (types of weather),weather
der,Wind,wind,Winde,winds,weather
die,Wolke,cloud,Wolken,clouds,weather
der,Chef,boss (male),Chefs,bosses,work
die,Chefin,boss (female),Chefinnen,bosses (female),work
der,Kollege,colleague (male),Kollegen,colleagues (male or mixed),work
die,Kollegin,colleague (female),Kolleginnen,colleagues (female),work
die,Abteilung,department,Abteilungen,departments,work
die,Anforderung,"requirement, demand",Anforderungen,"requirements, demands",work
die,Angestellte,employee (female),Angestellten,employees,work
die,Arbeit,"work, job, task",Arbeiten,"works, jobs, tasks",work
der,Arbeiter,worker (male),Arbeiter,workers,work
die,Arbeiterin,worker (female),Arbeiterinnen,workers (female),work
der,Arbeitgeber,employer,Arbeitgeber,employers,work
die,Arbeitszeit,working hours,Arbeitszeiten,working hours (pl.),work
der,Beruf,"occupation, profession",Berufe,"occupations, professions",work
der,Betrieb,"company, plant",Betriebe,"companies, plants",work
die,Bewerbung,application,Bewerbungen,applications,work
das,Büro,office,Büros,offices,work
das,Bürogebäude,office building,Bürogebäude,office buildings,work
die,Fähigkeit,"ability, skill",Fähigkeiten,"abilities, skills",work
der,Feierabend,end of the workday,Feierabende,ends of the workdays,work
die,Firma,"company, firm",Firmen,"companies, firms",work
das,Gehalt,salary,Gehälter,salaries,work
der,Job,job,Jobs,jobs,work
die,Karriere,career,Karrieren,careers,work
die,Kenntnis,knowledge (item),Kenntnisse,"knowledge (pl.), skills",work
die,Kompetenz,competence,Kompetenzen,"competences, skills",work
der,Lebenslauf,"CV, résumé",Lebensläufe,"CVs, résumés",work
der,Lohn,wage,Löhne,wages,work
die,Pause,"break, pause",Pausen,"breaks, pauses",work
das,Praktikum,internship,Praktika,internships,work
das,Projekt,project,Projekte,projects,work
die,Stelle,"position, job",Stellen,"positions, jobs",work
das,Unternehmen,"company, enterprise",Unternehmen,"companies, enterprises",work
der,Urlaub,"vacation, holiday (from work)",Urlaube,"vacations, holidays",work
die,Voraussetzung,prerequisite,Voraussetzungen,prerequisites,work
das,Vorstellungsgespräch,job interview,Vorstellungsgespräche,job interviews,work
die,Weiterbildung,further training,Weiterbildungen,further trainings,work
